最高分,最低分,人数,累计,省级行政区,综合,年份,总分(裸分),模式
674,674,1,1,江西,文科,2021,750,3+X
672,672,2,3,江西,文科,2021,750,3+X
668,668,1,4,江西,文科,2021,750,3+X
667,667,2,6,江西,文科,2021,750,3+X
666,666,2,8,江西,文科,2021,750,3+X
665,665,3,11,江西,文科,2021,750,3+X
664,664,3,14,江西,文科,2021,750,3+X
663,663,3,17,江西,文科,2021,750,3+X
662,662,2,19,江西,文科,2021,750,3+X
661,661,4,23,江西,文科,2021,750,3+X
660,660,3,26,江西,文科,2021,750,3+X
659,659,5,31,江西,文科,2021,750,3+X
658,658,5,36,江西,文科,2021,750,3+X
657,657,9,45,江西,文科,2021,750,3+X
656,656,10,55,江西,文科,2021,750,3+X
655,655,4,59,江西,文科,2021,750,3+X
654,654,6,65,江西,文科,2021,750,3+X
653,653,15,80,江西,文科,2021,750,3+X
652,652,12,92,江西,文科,2021,750,3+X
651,651,10,102,江西,文科,2021,750,3+X
650,650,12,114,江西,文科,2021,750,3+X
649,649,11,125,江西,文科,2021,750,3+X
648,648,13,138,江西,文科,2021,750,3+X
647,647,16,154,江西,文科,2021,750,3+X
646,646,18,172,江西,文科,2021,750,3+X
645,645,15,187,江西,文科,2021,750,3+X
644,644,14,201,江西,文科,2021,750,3+X
643,643,24,225,江西,文科,2021,750,3+X
642,642,31,256,江西,文科,2021,750,3+X
641,641,25,281,江西,文科,2021,750,3+X
640,640,40,321,江西,文科,2021,750,3+X
639,639,30,351,江西,文科,2021,750,3+X
638,638,29,380,江西,文科,2021,750,3+X
637,637,31,411,江西,文科,2021,750,3+X
636,636,33,444,江西,文科,2021,750,3+X
635,635,43,487,江西,文科,2021,750,3+X
634,634,28,515,江西,文科,2021,750,3+X
633,633,42,557,江西,文科,2021,750,3+X
632,632,42,599,江西,文科,2021,750,3+X
631,631,45,644,江西,文科,2021,750,3+X
630,630,44,688,江西,文科,2021,750,3+X
629,629,45,733,江西,文科,2021,750,3+X
628,628,50,783,江西,文科,2021,750,3+X
627,627,55,838,江西,文科,2021,750,3+X
626,626,54,892,江西,文科,2021,750,3+X
625,625,61,953,江西,文科,2021,750,3+X
